Demand for PJM Interconnection LLC (PJM) American Electric Power zone hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390296&sdid=EBA.PJM-AEP.D.H
19:27:58 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.PJM-AEP.D.H megawatthours
11/2/2022 04H,12112
11/2/2022 03H,12704
11/2/2022 02H,13359
11/2/2022 01H,13818
11/2/2022 00H,14081
11/1/2022 23H,13785
11/1/2022 22H,13520
11/1/2022 21H,13480
11/1/2022 20H,13527
11/1/2022 19H,13587
11/1/2022 18H,13731
11/1/2022 17H,13731
11/1/2022 16H,13724
11/1/2022 15H,13765
11/1/2022 14H,13726
11/1/2022 13H,13731
11/1/2022 12H,13685
11/1/2022 11H,12879
11/1/2022 10H,11839
11/1/2022 09H,11192
11/1/2022 08H,11061
11/1/2022 07H,11093
11/1/2022 06H,11213
11/1/2022 05H,11519
11/1/2022 04H,12035
11/1/2022 03H,12683
11/1/2022 02H,13231
11/1/2022 01H,13627
11/1/2022 00H,13762
10/31/2022 23H,13603
10/31/2022 22H,13622
10/31/2022 21H,13812
10/31/2022 20H,13697
10/31/2022 19H,13699
10/31/2022 18H,13755
10/31/2022 17H,13749
10/31/2022 16H,13877
10/31/2022 15H,13687
10/31/2022 14H,13513
10/31/2022 13H,13570
10/31/2022 12H,13622
10/31/2022 11H,12848
10/31/2022 10H,11721
10/31/2022 09H,11004
10/31/2022 08H,10791
10/31/2022 07H,10590
10/31/2022 06H,10853
10/31/2022 05H,10857
10/31/2022 04H,11161
10/31/2022 03H,11927
10/31/2022 02H,12190
10/31/2022 01H,12715
10/31/2022 00H,13016
10/30/2022 23H,12796
10/30/2022 22H,12377
10/30/2022 21H,12152
10/30/2022 20H,11980
10/30/2022 19H,12080
10/30/2022 18H,12195
10/30/2022 17H,12344
10/30/2022 16H,12432
10/30/2022 15H,12545
10/30/2022 14H,12568
10/30/2022 13H,12423
10/30/2022 12H,12060
10/30/2022 11H,11564
10/30/2022 10H,11129
10/30/2022 09H,10976
10/30/2022 08H,10919
10/30/2022 07H,10953
10/30/2022 06H,10980
10/30/2022 05H,11119
10/30/2022 04H,11388
10/30/2022 03H,11818
10/30/2022 02H,12144
10/30/2022 01H,12401
10/30/2022 00H,12534
10/29/2022 23H,12316
10/29/2022 22H,12169
10/29/2022 21H,12086
10/29/2022 20H,12015
10/29/2022 19H,12008
10/29/2022 18H,12279
10/29/2022 17H,12399
10/29/2022 16H,12624
10/29/2022 15H,13149
10/29/2022 14H,13473
10/29/2022 13H,13389
10/29/2022 12H,13061
10/29/2022 11H,12529
10/29/2022 10H,12048
10/29/2022 09H,11727
10/29/2022 08H,11590
10/29/2022 07H,11576
10/29/2022 06H,11533
10/29/2022 05H,11706
10/29/2022 04H,12090
10/29/2022 03H,12577
10/29/2022 02H,12970
10/29/2022 01H,13265
10/29/2022 00H,13336
10/28/2022 23H,13130
10/28/2022 22H,12969
10/28/2022 21H,12914
10/28/2022 20H,13015
10/28/2022 19H,13269
10/28/2022 18H,13494
10/28/2022 17H,13808
10/28/2022 16H,14116
